brand,model,year,mileage,transmission,location,fuel_type,price
Suzuki,Baleno 1.5 Hatchback,2023,12510,Automatic,DKI Jakarta,Bensin,217000000
Honda,"Brio 1.2 Satya E Hatchback - CVT, ISTIMEWA, SIAP PAKAI, LOW KM, CIAMIK POL, PAJAK PANJANG",2019,27525,Automatic,Jawa Timur,Bensin,150000000
Wuling,Binguo EV 333 Long Range AC/DC Hatchback - 0.0 333 Long Range AC DC,2024,17515,Automatic,Jawa Timur,Elektrik,180000000
Mitsubishi,Destinator 1.5 Ultimate Premium (Quartz White Pearl) SUV,2025,7505,Automatic,Jawa Timur,Bensin,460000000
Chevrolet,TRAX 1.4 LT SUV,2016,30027,Automatic,Jawa Timur,Bensin,118000000
Mitsubishi,Xpander Cross 1.5 Premium (White colour) MPV,2024,15012,Automatic,Jawa Timur,Bensin,285000000
Toyota,Avanza 1.5 G MPV,2024,42540,Automatic,DKI Jakarta,Bensin,212000000
Honda,HR-V 1.5 E Special Edition SUV,2021,27525,Automatic,DKI Jakarta,Bensin,234000000
Suzuki,Ertiga 1.5 Hybrid GX MPV,2023,27525,Automatic,Jawa Timur,Hybrid,225000000
Nissan,Livina 1.5 X-Gear MPV,2016,20017,Automatic,Jawa Timur,Bensin,137000000
Suzuki,Baleno 1.5 Hatchback - Promo DP Ringan atau Angsuran Ringan,2023,30027,Automatic,Jawa Barat,Bensin,214000000
Hyundai,"IONIQ Signature Coupe - 0.0 4, ,",2021,25022,Automatic,DKI Jakarta,Elektrik,225000000
Nissan,Livina 1.5 VE MPV,2021,47545,Automatic,DKI Jakarta,Bensin,180000000
Daihatsu,"Terios 1.5 R Custom SUV - AT, ISTIMEWA, SIAP PAKAI, LOW KM, CIAMIK POL, PAJAK PANJANG",2017,40037,Automatic,Jawa Timur,Bensin,160000000
Honda,Mobilio 1.5 S MPV,2022,20017,Manual,DKI Jakarta,Bensin,154000000
Honda,Civic 1.5 ES Sedan,2019,35032,Automatic,DKI Jakarta,Bensin,289000000
Toyota,Yaris 1.5 TRD Sportivo 3 AB Hatchback,2021,17515,Automatic,DKI Jakarta,Bensin,211000000
Hyundai,Creta 1.5 Trend SUV,2022,37535,Automatic,Banten,Bensin,215000000
Hyundai,Creta 1.5 Trend SUV - LOW KM,2022,20017,Automatic,Jawa Barat,Bensin,212000000
Hyundai,Stargazer 1.5 Prime MPV,2023,12510,Automatic,Jawa Barat,Bensin,215000000
Nissan,March 1.2 Hatchback,2017,50047,Automatic,DKI Jakarta,Bensin,107000000
Honda,Brio 1.2 Satya E Hatchback,2022,47545,Automatic,Jawa Barat,Bensin,152000000
Mitsubishi,Xpander 1.5 Ultimate MPV,2020,32530,Automatic,DKI Jakarta,Bensin,212000000
Toyota,Raize 1.0 GR Sport TSS (1 Tone) SUV,2022,20017,Automatic,Banten,Bensin,212000000
Honda,CR-V 1.5 Turbo Prestige SUV,2023,30027,Automatic,DKI Jakarta,Bensin,448000000
Honda,HR-V 1.5 Special Edition SUV,2023,10007,Automatic,DKI Jakarta,Bensin,325000000
Toyota,Sienta 1.5 V MPV,2021,20017,Automatic,Jawa Barat,Bensin,195000000
Mitsubishi,XFORCE 1.5 Ultimate SUV,2023,22520,Automatic,Jawa Barat,Bensin,290000000
Hyundai,Creta 1.5 Style SUV,2023,20017,Automatic,Jawa Barat,Bensin,238000000
Toyota,Voxy 2.0 MPV,2022,35032,Automatic,Jawa Barat,Bensin,370000000
Mitsubishi,Xpander Cross 1.5 Premium MPV,2023,35032,Automatic,Jawa Barat,Bensin,267000000
Honda,BR-V 1.5 E Prestige SUV,2016,50047,Automatic,DKI Jakarta,Bensin,160000000
Toyota,Yaris 1.5 TRD Sportivo Heykers Hatchback,2017,42540,Automatic,Jawa Barat,Bensin,165000000
Honda,Brio 1.2 Satya E Hatchback,2025,2500,Automatic,Jawa Barat,Bensin,185000000
Suzuki,S-Presso 1.0 Hatchback,2022,25022,Automatic,Jawa Barat,Bensin,128000000
Toyota,Agya 1.2 TRD Hatchback,2019,32530,Automatic,Jawa Barat,Bensin,123000000
Honda,Brio 1.2 Satya E Hatchback,2024,15012,Automatic,DKI Jakarta,Bensin,170000000
Honda,Brio 1.2 Satya E Hatchback,2023,7505,Automatic,DKI Jakarta,Bensin,163000000
Daihatsu,Rocky 1.2 M SUV - Hitam Bergaransi Promo DP minim,2021,17515,Automatic,Jawa Barat,Bensin,165000000
Toyota,Rush 1.5 GR Sport SUV,2023,17515,Automatic,DKI Jakarta,Bensin,248000000
Daihatsu,Rocky 1.0 R TC ASA SUV - Kuning Bergaransi Promo DP minim,2021,20017,Automatic,DKI Jakarta,Bensin,188000000
Honda,HR-V 1.5 Special Edition SUV,2025,10007,Automatic,DKI Jakarta,Bensin,350000000
Toyota,Sienta 1.5 V MPV - Abu-Abu Bergaransi Promo DP minim,2021,20017,Automatic,Jawa Barat,Bensin,195000000
Mitsubishi,XFORCE 1.5 Ultimate SUV,2023,22520,Automatic,DKI Jakarta,Bensin,292000000
Honda,HR-V 1.5 S SUV - Pajak 2027 Garansi 1 Tahun,2018,45042,Automatic,Banten,Bensin,170000000
Mitsubishi,Xpander 1.5 Ultimate MPV,2022,25022,Automatic,DKI Jakarta,Bensin,243000000
Honda,City 1.5 RS Hatchback,2021,42540,Automatic,Banten,Bensin,214000000
Ford,Ranger 2.0 Raptor Pickup,2025,2500,Automatic,DKI Jakarta,Bensin,1319000000
Honda,BR-V 1.5 E Prestige SUV,2017,40037,Automatic,DKI Jakarta,Bensin,170000000
Toyota,Raize 1.2 G (1 Tone) SUV,2024,15012,Automatic,DKI Jakarta,Bensin,199000000
Honda,WR-V 1.5 RS SUV,2023,30027,Automatic,DKI Jakarta,Bensin,229000000
Toyota,Calya 1.2 G MPV,2018,55052,Automatic,Jawa Barat,Bensin,114000000
Hyundai,Stargazer X 1.5 Prime MPV - JOSSS,2024,10007,Automatic,Jawa Tengah,Bensin,250000000
Honda,BR-V 1.5 Prestige SUV,2022,22520,Automatic,DKI Jakarta,Bensin,221000000
Honda,BR-V 1.5 E Prestige SUV,2016,47545,Automatic,Jawa Barat,Bensin,162000000
Mazda,3 1.6 Sedan,2007,62560,Manual,Banten,Bensin,70000000
Honda,Mobilio 1.5 S MPV,2018,35032,Manual,Banten,Bensin,134000000
Mitsubishi,Xpander Cross 1.5 Premium MPV,2023,35032,Automatic,DKI Jakarta,Bensin,268000000
Suzuki,Ertiga 1.5 Hybrid SS MPV,2022,25022,Automatic,DKI Jakarta,Hybrid,209000000
Nissan,Livina 1.5 VL MPV,2019,37535,Automatic,DKI Jakarta,Bensin,180000000
Honda,Brio 1.2 Satya E Hatchback,2023,10007,Automatic,DKI Jakarta,Bensin,163000000
BMW,Z4 3.0 M40i Convertible,2024,2500,Automatic,DKI Jakarta,Bensin,1595000000
Toyota,Land Cruiser 4.5 200 Full spec SUV,2012,40037,Automatic,DKI Jakarta,Bensin,995000000
Toyota,Calya 1.2 G MPV,2018,40037,Automatic,DKI Jakarta,Bensin,119000000
Honda,WR-V 1.5 RS Honda Sensing SUV - RS Sensing,2024,27525,Automatic,DKI Jakarta,Bensin,258000000
Hyundai,Stargazer 1.5 Active MPV,2022,10007,Automatic,DKI Jakarta,Bensin,170000000
Toyota,Alphard 2.5 HEV (Premium Color) MPV,2025,2500,Automatic,DKI Jakarta,Elektrik,1545000000
Mercedes-Benz,E300 2.0 AMG Line Sedan,2024,2500,Automatic,DKI Jakarta,Bensin,1395000000
Nissan,March 1.2 Hatchback - UNIK,2017,50047,Automatic,DKI Jakarta,Bensin,105000000
Hyundai,IONIQ 5 Signature Long Range SUV - 0.0,2023,10007,Automatic,DKI Jakarta,Elektrik,465000000
